#EXTM3U x-tvg-url="https://live.fanmingming.com/e.xml" catchup="append" catchup-source="?playseek=${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss}"
央视,#genre#
精彩广场舞,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.211:1025
精彩竞技,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.209:1025
精彩篮球,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.210:1025
精彩青少,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.208:1025
精英纪实,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.212:1025
发现之旅,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.189:1025
北京纪实科教,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.206:1025
北京科教,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.203:1025
环球旅游,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.180:1025
老故事,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.200:1025
老片剧场,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.130:1025
梨园频道,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.170:1025
四海钓鱼,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.183:1025
文物宝库,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.171:1025
武术世界,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.172:1025
西藏卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.115:1025
先锋乒羽,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.168:1025
生态环境,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.181:1025
书法频道,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.184:1025
书法频道,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.199:1025
悠悠宝宝,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.179:1025
茶频道,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.155:1025
茶频道,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.167:1025
车迷频道,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.178:1025
中国交通,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.204:1025
中国天气,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.66:1025
中华特产,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.177:1025
先锋乒羽,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.168:1025

教育卡通,#genre#
CETV1,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.54:1025
CETV2,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.169:1025
CETV4,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.196:1025
中学生,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.188:1025
福建教育FETV,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.60:1025
嘉佳卡通,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.173:1025
嘉佳卡通,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.74:1025
金鹰纪实,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.171:1025
金鹰卡通,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.100:1025
金鹰卡通,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.107:1025
卡酷少儿,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.108:1025
新动漫,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.207:1025
动画卡通,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.10:1025
动画卡通,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.14:1025
动画卡通,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.15:1025
动画卡通,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.9:1025

购物广告,#genre#
UBesttv直播,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.13:1025
170,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.170:1025
besttv 测试1,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.129:1025
besttv测试,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.126:1025
Besttv直播,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.12:1025
维护中,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.50:1025
维护中,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.97:1025
证券服务,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.187:1025
财富天下,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.186:1025
家庭理财,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.185:1025
家有购物,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.131:1025
电视购物,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.190:1025
东方购物,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.174:1025
