央视,#genre#
厦门卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226781/.m3u8
厦门卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227351/.m3u8
福建电视剧,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227079/.m3u8
福建经济,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227184/.m3u8
福建旅游,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227190/.m3u8
福建少儿,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227194/.m3u8
福建文体,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227188/.m3u8
福建乡村,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227153/.m3u8
福建新闻,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227180/.m3u8
福建综合,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227149/.m3u8
延边卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227330/.m3u8
咪咕视频,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227158/.m3u8

剧场,#genre#
动作电影,http://[2409:8087:5e00:24::1e]:6060/000000001000/8103864434730665389/1.m3u8
动作电影,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
动作电影,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
功夫武侠,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227327/.m3u8
古装电视剧,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227478/.m3u8
黑莓电影,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227448/.m3u8
古装剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227307/.m3u8
家庭剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227457/.m3u8
精品大剧,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227315/.m3u8
爱情喜剧,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227462/.m3u8
军旅剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227465/.m3u8
惊悚悬疑,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227466/.m3u8
中国功夫,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227473/.m3u8
金鹰纪实,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226937/.m3u8
北京科技,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225944/.m3u8

教育，卡通台,#genre#
